Z30_REC_KEY	fake_instance_id	SUPPRESS_IN_OPAC	holdings_note	PERM_LOCATION	SIGNATURA
000151877_0001	000151948	0		SVKPK-BOR2
000151877_0002	000151948	0		SVKPK-HLAV
000151877_0003	000151948	0		SVKPK-REG
000154987_0001	000155062	0		ROMA-FRAN
000154987_0002	000155062	0		SVKPK-BOR2
000158970_0001	000159045	0		SVKPK-BOR2
000158970_0002	000159045	0		SVKPK-HIST
000158970_0003	000159045	0		SVKPK-REST
000164857_0001	000164936	0		ANGL-ANGL
000164860_0001	000164939	0		ANGL-ANGL
000167670_0001	000167749	0		SVKPK-BOR2
000169791_0001	000169871	0		SVKPK-HLAV
000185788_0001	000185889	0		SVKPK-BOR16
000192314_0001	000192421	0		SVKPK-HLAV
000192314_0002	000192421	0		SVKPK-STUD
000194101_0001	000194208	0		SVKPK-BOR16
000194101_0002	000194208	0		SVKPK-BOR2
000202074_0001	000202250	0		SVKPK-BOR17
000204386_0001	000204581	0		SVKPK-BOR17
000204386_0002	000204581	0		SVKPK-SPEC
000210585_0001	000210867	0		SVKPK-BOR17
000216395_0001	000216727	0		SVKPK-STOD
000243327_0001	000244450	0		SVKPK-HLAV
000243328_0001	000244451	0		SVKPK-HLAV
000243329_0001	000244452	0		SVKPK-HLAV
000244256_0001	000245441	0		SVKPK-BOR17
000244256_0002	000245441	0		SVKPK-SPEC
000269521_0001	000272375	0		SVKPK-BOR17
000276054_0001	000279255	0		SVKPK-BOR2
000276054_0002	000279255	0		SVKPK-CIT
000276054_0003	000279255	0		SVKPK-HLAV
000277111_0001	000280312	0		SVKPK-CIT
000277613_0001	000280814	0		SVKPK-BOR2
000277613_0002	000280814	0		SVKPK-HLAV
000277613_0003	000280814	0		SVKPK-REG
000288650_0001	000288650	0		SVKPK-BUSOV
000308286_0001	000308286	0		SVKPK-BOR17
000308753_0001	000308753	0		ANGL-ANGL
000308753_0002	000308753	0		SVKPK-HLAV
000311648_0001	000311648	0		SVKPK-BOR2
000318754_0001	000318754	0		SVKPK-HLAV
000320693_0001	000320693	0		ST_VS-BOR2
